Tiêu đề,Giá,Diện tích,Giá/m²,Phòng ngủ,WC,Địa điểm
"TIN THẬT 100% - BÁN NHÀ RIÊNG 134/1... CÁCH MẠNG THÁNG TÁM, 40 TỶ, 328 M2 GIÁ CỰC CHẤT HOT",40 tỷ,328 m²,"121,95 tr/m²",23 Phòng ngủ,21 WC,·
BÁN NHÀ NGUYỄN ĐỨC CẢNH_61M2_MT 4.4M_THANG MÁY XỊN SÒ_Ô TÔ Ở TRONG NHÀ_LÔ GÓC_GIÁ 23.5 TỶ,"23,5 tỷ",61 m²,"385,25 tr/m²",,,·
BÁN NHÀ RIÊNG CHÍNH CHỦ Q. BÌNH THẠNH,14 tỷ,97 m²,"144,33 tr/m²",4 Phòng ngủ,5 WC,·
"BÁN NHÀ CHÍNH CHỦ, DÂN XÂY TẠI MỄ TRÌ - NAM TỪ LIÊM. DIỆN TÍCH 63M2 X 6 TẦNG, GIÁ 10,9 TỶ","10,9 tỷ",63 m²,"173,02 tr/m²",10 Phòng ngủ,10 WC,·
SIÊU PHẨM LINH ĐƯỜNG -6 TẦNG - Ô TÔ VÀO NHÀ - NGÕ THÔNG,"12,3 tỷ",45 m²,"273,33 tr/m²",9 Phòng ngủ,10 WC,·
"BÁN NHÀ RIÊNG, MINH KHAI, 10,68 TỶ, 62.4M2, 7PN, 5WC, CHÍNH CHỦ, GIÁ TỐT","10,68 tỷ","62,4 m²","171,15 tr/m²",7 Phòng ngủ,5 WC,·
"BÁN NHÀ YÊN LẠC_80M2_MT 6,5M_NỞ HẬU_ NGÕ THÔNG_Ô TÔ VÀO NHÀ_THANG MÁY XỊN SÒ_GIÁ 27.5TỶ","27,5 tỷ",82 m²,"335,37 tr/m²",,,·
"BÁN NHÀ VÕ THỊ SÁU, 41M2, MT 4M, Ô TÔ VÀO NHÀ, THANG MÁY, GIÁ 17.8 TỶ","17,8 tỷ",41 m²,"434,15 tr/m²",4 Phòng ngủ,,·
"TÔI KHOA CÓ CĂN NHÀ CẦN BÁN ĐƯỜNG HOÀNG HOA THÁM, PHƯỜNG 6, QUẬN BÌNH THẠNH. (4,5 X 11)M GIÁ 2TỶ590","2,59 tỷ","49,7 m²","52,11 tr/m²",4 Phòng ngủ,5 WC,·
"CHỈ VỚI 2TỶ390 BẠN ĐÃ CÓ THỂ VỪA AN CƯ LẬP NGHIỆP VỪA ĐẦU TƯ NGAY VỊ TRÍ VÀNG ĐƯỜNG KỲ ĐỒNG, QUẬN 3","2,39 tỷ",61 m²,"39,18 tr/m²",4 Phòng ngủ,3 WC,·
